id,Station ID,Distance along line,Ring ID,PointRingID,Population 2028,Car Trips 2028,Area SQKM,PopulationPerSQKM,CarTripsPerSQKM,Ring Distance,Value Uplift,Value Uplift per SQKM
1,5,2,4,5.4,44426,11523,117,380,98,2,129890867,1106059
2,10,4.5,2,10.2,28610,9812,50,572,196,1,443985772,8826210
3,10,4.5,3,10.3,35982,11569,84,428,138,1.5,279695196,3335842
4,1,0,2,1.2,3561,1120,25,142,45,1,25186496,1008865
5,7,3,1,7.1,4648,956,17,273,56,0.5,13037640,777276
6,1,0,3,1.3,14300,3520,41,349,86,1.5,29165440,717903
7,1,0,1,1.1,346,31,8,43,4,0.5,11382448,1360371
8,7,3,4,7.4,51555,15529,117,441,133,2,129095516,1099485
9,4,1.5,3,4.3,31738,8232,84,378,98,1.5,93263962,1111749
10,4,1.5,4,4.4,45607,11084,113,404,98,2,62767380,555751
11,7,3,2,7.2,13938,2867,50,279,57,1,141260291,2807212
12,16,7.5,2,16.2,5357,687,17,315,40,1,156899648,9387825
13,4,1.5,1,4.1,4648,956,17,273,56,0.5,2072063,123500
14,1,0,4,1.4,19954,4410,57,350,77,2,17321027,306102
15,7,3,3,7.3,28987,7125,84,345,85,1.5,432843699,5161043
16,13,6,1,13.1,1795,559,14,128,40,0.5,41926731,3083926
17,16,7.5,3,16.3,7193,923,22,327,42,1.5,72145971,3215654
18,4,1.5,2,4.2,19047,4942,50,381,99,1,12001280,238435
19,13,6,2,13.2,4060,1266,31,131,41,1,68566039,2229425
20,16,7.5,1,16.1,1657,516,13,127,40,0.5,33574387,2675504
21,16,7.5,4,16.4,9684,1243,30,323,41,2,40285548,1333545
22,3,1,1,3.1,4649,956,17,273,56,0.5,5962110,355321
23,13,6,3,13.3,6281,1958,48,131,41,1.5,220101011,4626115
24,13,6,4,13.4,14896,1912,46,324,42,2,45116483,970815
25,3,1,4,3.4,30501,6723,87,351,77,2,32244779,372410
26,3,1,2,3.2,19044,4940,50,381,99,1,38525754,765342
27,3,1,3,3.3,31260,7615,78,401,98,1.5,64454733,830384
28,15,7,3,15.3,8518,1093,27,315,40,1.5,66910103,2518032
29,12,5.5,2,12.2,4058,1265,31,131,41,1,61054790,1986010
30,15,7,4,15.4,11021,1415,34,324,42,2,40170858,1168314
31,12,5.5,3,12.3,6238,1944,47,133,41,1.5,86140497,1822535
32,15,7,1,15.1,1842,574,14,132,41,0.5,45366937,3251459
33,15,7,2,15.2,8149,1046,25,326,42,1,180453389,7097850
34,12,5.5,1,12.1,1799,561,14,129,40,0.5,19921201,1461364
35,12,5.5,4,12.4,8462,2637,64,132,41,2,70611739,1101516
36,14,6.5,1,14.1,1823,568,14,130,41,0.5,42243594,3058766
37,14,6.5,4,14.4,12201,1566,38,321,41,2,48510384,1274435
38,9,4,2,9.2,27100,9032,50,542,181,1,195393768,3883683
39,6,2.5,1,6.1,4647,956,17,273,56,0.5,3151995,187897
40,9,4,3,9.3,44508,15074,84,530,179,1.5,217998314,2599786
41,14,6.5,2,14.2,4114,1282,31,133,41,1,198100749,6358106
42,6,2.5,2,6.2,13939,2868,50,279,57,1,41080602,816298
43,14,6.5,3,14.3,10780,1384,34,317,41,1.5,69315281,2061211
44,9,4,1,9.1,4467,893,17,263,53,0.5,408665865,24368160
45,11,5,3,11.3,18343,4441,45,408,99,1.5,28803456,636560
46,9,4,4,9.4,68533,21952,117,586,188,2,134390663,1144789
47,11,5,4,11.4,22348,5025,62,360,81,2,31737026,510425
48,6,2.5,3,6.3,28195,6801,84,336,81,1.5,159004541,1895715
49,11,5,1,11.1,1872,588,13,144,45,0.5,14372820,1095215
50,6,2.5,4,6.4,44431,11525,117,380,99,2,285209629,2428844
51,11,5,2,11.2,4127,1299,29,142,45,1,28028096,968607
52,2,0.5,1,2.1,178,62,17,10,4,0.5,23697135,1412102
53,2,0.5,2,2.2,14078,3431,38,370,90,1,20381312,532503
54,8,3.5,3,8.3,37579,11398,84,447,136,1.5,202689452,2417015
55,8,3.5,4,8.4,56346,18402,117,482,157,2,113304288,965087
56,5,2,2,5.2,16918,4077,50,338,82,1,24180628,480457
57,10,4.5,1,10.1,7637,2446,17,449,144,0.5,76785001,4578959
58,8,3.5,1,8.1,4467,893,17,263,53,0.5,85111165,5074635
59,5,2,3,5.3,31733,8230,84,378,98,1.5,84300672,1004987
60,2,0.5,3,2.3,18598,4151,52,358,80,1.5,36761594,702276
61,8,3.5,2,8.2,18708,4804,50,374,96,1,420358742,8354435
62,2,0.5,4,2.4,24105,5330,68,354,78,2,32435208,474559
63,5,2,1,5.1,4647,956,17,273,56,0.5,741510,44199
64,10,4.5,4,10.4,61046,20571,117,522,176,2,243837071,2077305
