fid,sal_code_2021,sal_name_2021,Population,SAL Area,IRSAD Score,IRSAD Decile (Greater Sydney),All Green Assets Count,All Green Assets Area,All Green Asset Coverage,All Green Asset Area per Capita,Parks and Gardens Count,Parks and Gardens Area,Parks and Gardens Coverage,Parks and Gardens Area per Capita,Bushland Area,Bushland Count,Bushland Coverage,Bushland Area per Capita,Public Open Spaces Count,Public Open Spaces Area,Public Open Spaces Coverage,Public Open Spaces per Capita,Public Open Space Non Bush Area,Public Open Space Non Bush Count,Public Open Space Non Bush Coverage,Public Open Space Non Bush Per Capita
1,"10002",Abbotsbury,4200,4978800,1060,5,15,233914,4.69820036956696,55.6938095238095,12,121085,2.43201172973407,28.8297619047619,0,0,0,0,13,182913,4,43.5507142857143,182913,13,3.67383706917329,43.5507142857143
2,"10003",Abbotsford (NSW),5431,1018000,1108,7,13,50137,4.92504911591356,9.23163321671884,13,50137,4.92504911591356,9.23163321671884,0,0,0,0,13,50137,5,9.23163321671884,50137,13,4.92504911591356,9.23163321671884
3,"10014",Acacia Gardens,3668,1001300,1096,7,6,80063,7.99590532308,21.8274263904035,2,13414,1.33965844402277,3.65703380588877,33341,3,3.32977129731349,9.08969465648855,6,80063,8,21.8274263904035,46722,3,4.6661340257665,12.7377317339149
4,"10021",Agnes Banks,996,15475000,1045,4,8,1675705,10.828465266559,1682.43473895582,0,0,0,0,1675705,8,10.828465266559,1682.43473895582,8,1675705,11,1682.43473895582,0,0,0,0
5,"10022",Airds,3265,2380600,741,1,12,235032,9.87280517516592,71.9852986217458,3,72232,3.03419306057296,22.123124042879,134958,4,5.66907502310342,41.3347626339969,8,232092,10,71.0848392036753,97134,4,4.0802318743174,29.7500765696784
6,"10182",Bankstown Aerodrome,0,3730200,,1,4,447991,12.0098386145515,,1,963,0.02581631011742,,0,0,0,,2,21573,1,,21573,2,0.578333601415474,
7,"10030",Alexandria,9649,3537000,1174,10,16,484407,13.6954198473282,50.2028189449684,6,3561,0.100678541136556,0.369053787957301,0,0,0,0,16,484407,14,50.2028189449684,484407,16,13.6954198473282,50.2028189449684
8,"10031",Alfords Point,3131,2566500,1111,7,32,1169458,45.5662575491915,373.509421909933,18,79794,3.10905902980713,25.4851485148515,982006,7,38.2624586012079,313.639731715107,27,1103840,43,352.551900351325,121834,20,4.74708747321255,38.9121686362185
9,"10036",Allambie Heights,7317,6674600,1127,8,61,4394370,65.8372037275642,600.569905699057,22,68936,1.03281095496359,9.4213475468088,3718881,24,55.7169118748689,508.252152521525,57,3917889,59,535.450184501845,199008,33,2.98157192940401,27.1980319803198
10,"10192",Barangaroo,220,222700,1214,10,3,235,0.105523125280647,1.06818181818182,1,124,0.0556802873821284,0.563636363636364,0,0,0,0,3,235,0,1.06818181818182,235,3,0.105523125280647,1.06818181818182
11,"10038",Allawah,5351,583700,1013,3,5,9245,1.58386157272572,1.72771444589796,4,7971,1.36559876648964,1.48962810689591,0,0,0,0,5,9245,2,1.72771444589796,9245,5,1.58386157272572,1.72771444589796
12,"10088",Arndell Park,0,2000800,,1,3,109881,5.49185325869652,,1,0,0,,109881,2,5.49185325869652,,3,109881,5,,0,1,0,
13,"10239",Beaconsfield (NSW),1172,151500,1181,10,3,7816,5.15907590759076,6.66894197952218,0,0,0,0,0,0,0,0,3,7816,5,6.66894197952218,7816,3,5.15907590759076,6.66894197952218
14,"10049",Ambarvale,7254,2848000,873,1,21,480195,16.860779494382,66.197270471464,18,310088,10.8879213483146,42.7471739729804,0,0,0,0,20,452871,16,62.4305210918114,452871,20,15.9013693820225,62.4305210918114
15,"10060",Angus,384,6089900,953,2,6,447746,7.35227179428234,1166.00520833333,0,0,0,0,27743,1,0.455557562521552,72.2473958333333,1,27743,0,72.2473958333333,0,0,0,0
16,"10062",Annandale (NSW),9487,1493100,1159,9,25,113000,7.56814680865314,11.9110361547381,16,78410,5.25149018819905,8.26499420259302,3226,3,0.216060545174469,0.340044271107832,21,107714,7,11.3538526404554,104488,18,6.99805773223495,11.0138083693475
17,"10063",Annangrove,1472,10246400,1085,6,7,462099,4.50986688007495,313.925951086957,1,5625,0.0548973297938788,3.82133152173913,418043,4,4.079901233604,283.99660326087,6,454008,4,308.429347826087,35965,2,0.35100132729544,24.4327445652174
18,"10064",Appin (NSW),3213,102055000,1020,3,18,52823569,51.7599029934839,16440.5754746343,3,32483,0.0318289157807065,10.1098661686897,51848378,8,50.8043486355397,16137.0613134143,14,52029361,51,16193.3896669779,180983,6,0.177338689922101,56.3283535636477
